ID,URL,About,OrganisationInformation,Overview,Eligibility,Application
9,https://www.mastersportal.com/scholarships/3906/ealing-trailfinders-rugby-scholarship.html,"About
Every year Brunel University London offer over 600 scholarships, bursaries and discounts to HOME, EU and INTERNATIONAL students. Our wide range of scholarships and bursaries are awarded based on a whole range of criteria .","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
Varies
Scholarship coverage
tuition fee reduction
accommodation
Description
The Ealing Trailfinders Rugby Club and the Trailfinders Rugby Academy are fully committed to discovering and developing the most promising and aspirational players to support their journey towards professional rugby through education.
This rugby scholarship programme has been developed in conjunction with Brunel University London, allowing you to gain a degree to set you up for the rest of your life academically, as well as pursuing a professional rugby career with a full-time rugby programme.
Applicable programmes
Online Education
University of Glasgow
Glasgow, United Kingdom
Master of Business Administration (Online)
University of Birmingham online
Birmingham, United Kingdom
Masters of Public Administration (Online)
University of Birmingham online
Birmingham, United Kingdom
Benefits
Their scholarship programme offers bursary and financial assistance with the university accommodation and tuition fees. These are variable amounts and based on individual decisions. 
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
Their rugby scholarship programme is open for men and women players and they accept appplications from the UK and worldwide.
Scholarship requirements
Disciplines
Any
Locations
United Kingdom
Nationality
226 nationalities
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
01 Oct 2024
The application deadline for the 2024/25 academic year is 1 October 2024, but we encourage you to apply as soon as you feel you are ready, so you have more than enough time to go through the application process. 
As a first step, please submit an online application via email and attach a cover letter, Rugby CV and Rugby Highlights reel to your email. You can expect an answer from their team in 14 days. 
Please note that you’ll need to make two separate applications and meet the entry requirements both of the rugby scholarship programme and a foundation, undergraduate, postgraduate or research course at Brunel University London.","Brunel University London
Uxbridge , United Kingdom
Not ranked
Studyportals University Meta Ranking
3.9
Read 142 reviews
Featured by
Brunel University London"
10,https://www.mastersportal.com/scholarships/9380/allan-and-nesta-ferguson-scholarships.html,"About
SOAS University of London have a wide range of scholarships and awards to support students on their degree programmes.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
£32,500
Scholarship coverage
tuition fee reduction
Description
The Allan and Nesta Ferguson scholarship is awarded on the basis of academic merit. Students offered an Allan and Nesta Ferguson Scholarship must take it up in the academic year 2024/25 and it cannot be deferred to a later year.
  Applicable programmes
Online Education
University of Glasgow
Glasgow, United Kingdom
Master of Business Administration (Online)
University of Birmingham online
Birmingham, United Kingdom
Masters of Public Administration (Online)
University of Birmingham online
Birmingham, United Kingdom
Benefits
Two awards will be made by Allan and Nesta Ferguson, each have a total value of £32,500 which will be put towards tuition fees.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
Any full-time Master’s programme in the College of Humanities excluding MA Buddhist Studies, MA Buddhist Studies with Intensive Language and MA Traditions of Yoga and Meditation. 
Applicants should:
be a resident in low income or lower middle income countries (as defined by the World Bank) and preferably from low income households
hold an undergraduate degree at the first class level
new scholarship applicants must have applied to SOAS but are not required to have received an offer of admissions by the scholarship deadline. An offer will need to have been received by the time the relevant panel meets to discuss scholarship applications
applicants must meet the English language condition of their offer of admission to study at SOAS as soon as possible
please note that this scholarships do not cover funding or even allow for Pre-sessionals
Scholarship requirements
Disciplines
Any
Locations
United Kingdom
Nationality
Any
Study experience required
Bachelor
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
08 Mar 2025
Scholarship applications must be received no later than 12:00 PM (midday UK local time) on 8 March.
You must also submit a complete online application to your programme. Please note that complete applications for admission can take up to 4 weeks to be considered by the Department, although this duration can vary depending on the time of year. You should be prepared to wait up to 6 weeks in busy periods.
Late or incomplete applications will not be considered.","SOAS University of London
London , United Kingdom
Not ranked
Studyportals University Meta Ranking
4.1
Read 50 reviews
Featured by
SOAS University of London"
11,https://www.mastersportal.com/scholarships/8577/international-excellence-scholarship.html,"About
At the University of Newcastle, they are proud to offer students both affordable tuition fees alongside competitive scholarships to support your studies. Scholarships are valued up to A$48,000 depending on your length of study, chosen degree and citizenship.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
AU$4,000 to AU$8,000 per year; maximum AU$32,000
Scholarship coverage
tuition fee reduction
Description
The International Excellence Scholarship has been established to attract high-performing students to study at the University of Newcastle. This merit-based scholarship acknowledges applicants with a strong academic background and provides an ongoing incentive for continued academic achievement.
Applicable programmes
Master of Nursing
University of Newcastle
Newcastle, Australia
Master of Social Change and Development
University of Newcastle
Newcastle, Australia
Master of Engineering - Master of Engineering Management
University of Technology Sydney
Sydney, Australia
Benefits
The scholarship value ranges from AU$4,000 to AU$8,000 per year for a standard full-time study load (80 units) in an eligible program, with the value dependent on the recipient’s region.
The maximum value would be AU$32,000 over a full-time 4-year degree.
The scholarship is applied on a pro-rata basis, apportioned to each course taken in each term of study.
The scholarship benefit will be applied as tuition fee waivers directly to the recipient's University student account.
This will reduce the tuition fee liability by the scholarship benefit amount for each term of the program of study, provided the conditions of the scholarship are maintained. The benefit amount will be calculated on the number of units the recipient is enrolled in at Census date for each term. The tuition fee waiver may not be reflected on the tuition fee account until census date has passed. After census date, a fee waiver will be applied to the recipient’s student account.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
To be eligible to apply for this scholarship, you will need to:
Be an International full-fee paying student.
Be commencing study in an eligible CRICOS-registered undergraduate or postgraduate coursework degree priority program at the university.
Not be the beneficiary of a separate University scholarship unless prior approval for special dispensation has been obtained from the university.
Be able to meet the financial obligations of a full fee-paying international student specified by the Australian Government.
Evidence of this ability must be provided if requested by the university.
Scholarship requirements
Disciplines
Any
Locations
Australia
Nationality
Any
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
Anytime
No application is required for this scholarship.
Scholarships are automatically applied for upon application to the university where other eligibility criteria are met.
Scholarship offers will be made based on academic merit. All determinations of academic merit are aligned to the University’s published entry and eligibility processes and made at the discretion of the University.
You will receive notification of your scholarship and the value in your Letter of Offer.
If you wish to decline the offer, it is your responsibility as the recipient to inform the University.
Some students may not be eligible for an offer, even if criteria are met, as outlined in paragraph 3.2 of the conditions. This includes students who are studying ELBP, Enabling, Non-Award, Study Exchange, and Higher Degrees by Research. Please refer to the terms and conditions for more details.
The University reserves the right not to award the scholarship.","University of Newcastle
Newcastle , Australia
Not ranked
Studyportals University Meta Ranking
4.6
Read 10 reviews
Featured by
University of Newcastle"
12,https://www.mastersportal.com/scholarships/2023/wellington-masters-by-thesis-scholarship.html,"About
Victoria University of Wellington can support you financially if you are admitted to one of its study programmes as an international student.
Victoria University of Wellington awards scholarships, bursaries, tuition fee reductions and discounts that help you cover existing tuition and living costs. ","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
$15,000
Scholarship coverage
tuition fee reduction
Description
To encourage postgraduate research at Te Herenga Waka - Victoria University of Wellington, the University offers Wellington Master’s by Thesis Scholarship to students about to begin a full-time, research-focussed Master's degree.
Applicable programmes
Psychotherapy
Auckland University of Technology
North Shore, New Zealand
Medical Laboratory Science
Auckland University of Technology
Auckland, New Zealand
Science (Research)
Auckland University of Technology
Auckland, New Zealand
Benefits
The scholarship comprises a $15,000 tax free stipend for one year plus tuition fees (domestic fees for 120 points only). 
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
Applications are sought from those who are eligible at the time of application, or who will have become eligible by the start of Trimester 2 the following year, to enrol for a Master’s degree by thesis worth 90 points or more. This will be either a one-year Master's programme in which the student will undertake a thesis worth 90 points or more, or Part 2 Master's degree in which the student will take a thesis course worth 90 points or more. The Master's thesis will usually have the course code 591 or 592.
For avoidance of doubt, eligibility includes students who are taking a portfolio course that is worth 90 points or more, and is administered under the University's Master's by Thesis regulations (see section 6 of those regulations).
Students who are taking a 60 points dissertation course are not eligible.
Students would normally be expected to have completed a Bachelor's degree or Master's degree Part 1 demonstrating academic achievement equivalent to a GPA of at least 7.0 from a New Zealand university. Applicants must be aware that a GPA of 7.0 is a minimum requirement and that the University Research Scholarships Committee has discretion to use a higher bar if there are more applications than funding available.
Scholarship requirements
Disciplines
Any
Locations
New Zealand
Nationality
Any
Study experience required
Bachelor
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
01 Nov 2024
All scholarship applications are submitted through Community Force.
A completed online application must be submitted by 4.30 pm on the closing date. Late or incomplete applications will not be accepted. Any required supporting documentation (including references) must also be received by 4.30 pm on the closing date in order for the application to be considered.","Victoria University of Wellington
Wellington , New Zealand
Not ranked
Studyportals University Meta Ranking
4.3
Read 35 reviews
Featured by
Victoria University of Wellington"
13,https://www.mastersportal.com/scholarships/10136/excellence-scholarships.html,"About
In line with its internationalization strategies for increasing incoming mobility and attractiveness to foreign students, the University of Milan offers its international students scholarships and exemptions from tuition fees.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
€8,000 or total exemptions from tuition fees
Scholarship coverage
tuition fee reduction
Description
The University of Milan offers its best new students ""Excellence Scholarships"", all students enrolled in the first year of a Master's degree programme can apply.
Applicable programmes
Cognitive Psychology in Health Communication
Vita-Salute San Raffaele University
Milano, Italy
International Medical Doctor Program
Vita-Salute San Raffaele University
Milano, Italy
Medicine and Surgery (English language)
Humanitas University
Milano, Italy
Benefits
For academic year 2024/2025, 155 incentives are available to the best international students admitted to a Master's degree programme, of which:
55 scholarships worth €8,000 each, with the right to exemption from the all-inclusive tuition fee
100 total exemptions from the all-inclusive tuition fee.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
To be eligible to receive the excellence scholarship students must: 
Be admitted to open-access master degree programmes and have completed the application for admission by May 31st of each year or be admitted to a master degree programme with limited access; 
Be admitted to the single-cycle master degree programme in International Medical School. 
Scholarship requirements
Disciplines
Any
Locations
Italy
Nationality
Any
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
Anytime
You don't have to apply. In July, the beneficiaries will receive a formal email confirming the grant.
 ","The University of Milan
Sesto San Giovanni , Italy
Not ranked
Studyportals University Meta Ranking
4.0
Read 129 reviews
Featured by
The University of Milan"
14,https://www.mastersportal.com/scholarships/8719/chinese-government-scholarship-type-a-bilateral-program.html,"About
Bilateral Program includes a full or partial scholarship established by MOE in accordance with educational exchange agreements or consensus between Chinese government and the governments and institutions of other countries.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
Full/Partial Scholarship + up to CNY3,500 per mont
Scholarship coverage
tuition fee reduction
accommodation
health
other
Description
The Bilateral Program supports undergraduate students, graduate students, general scholars, and senior scholars, covers both major study and Chinese language (preparatory) study. The language courses last one year, whereas the duration of the scholarship for major study conforms to that as required. Applicants could consult the Chinese embassy or consulate in their country for specific enrollment categories.
  Applicable programmes
Sustainable Construction
Xi'an Jiaotong-Liverpool University
Suzhou, China
Media and Communication
Xi'an Jiaotong-Liverpool University
Suzhou, China
Urban Planning (specialisation in Urban Design)
Xi'an Jiaotong-Liverpool University
Suzhou, China
Benefits
The Bilateral Program provides both full scholarships and partial scholarships.
Full Scholarship covers tuition, accommodation fee, comprehensive medical insurance, and stipend (Undergraduates: CNY2,500 per month;
Master’s students/general scholars: CNY3,000 per month;
Doctoral students/senior scholars: CNY3,500 per month).
Partial scholarship includes parts of Full Scholarship.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
Applicants must be a Non-Chinese citizen, and in good physical and mental health.
Educational background and age requirements:
Undergraduate’s degree applicants shall be an academically excellent holder of high school diploma and be under the age of 25.
Master’s degree applicants shall be an academically excellent holder of a bachelor’s degree holder and under the age of 35.
Ph.D. degree applicants shall be an academically excellent holder of a Master’s degree holder and under the age of 40.
General scholar programs applicants shall hold a high school diploma (or higher) and be under the age of 45.
Senior scholar programs applicants shall be a master’s degree holder or an associate professor (or above) and under the age of 50.
Language proficiency requirements:
Applicants for English-taught programs and whose native language is not English need to provide score report of English language proficiency test (a score above IELTS 6.0 or TOEFL Internet-based 80 or equivalent), or a certificate from former university proving that the previous degree is taught in English, or a certificate indicating the applicants have studied in an English-speaking country for more than one year;
Scholarship requirements
Disciplines
Any
Locations
China
Nationality
Any
Study experience required
High school
Age
Under 50
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
15 Mar 2025
Create and activate an account in CQU’s online application system. Fill in the application form and upload required supporting documents (shall be the colored scanned copy), and submit the application.
Send an email, indicate the subject: Application No. in CQU’s online application system+ CSC Bilateral Program + Pre-admission Notice. (It is incredibly important to not overlook this step.)
CQU will issue a pre-admission notice to applicants who pass the university’s review. 
Applicants contact the relevant dispatching authorities to obtain a recommendation for the Chinese government scholarship.
Complete the online application procedure at CGS Information Management System for International Students, fill in the CSC Application Form online, upload the application materials and submit application. Select “Chongqing University” as Application Institution Ⅰ.","The University of Milan
Sesto San Giovanni , Italy
Not ranked
Studyportals University Meta Ranking
4.0
Read 129 reviews
Featured by
The University of Milan"
15,https://www.mastersportal.com/scholarships/10285/sports-grant.html,"About
During the online application to the academic programs the students indicate that they wish to be considered, the decisions are made based on the academic performance of the candidate and academic program applied. The Eastern Mediterranean University admission decision will indicate if the student will receive a partial tuition waiver.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
Tuition fees discounts and accomodation
Scholarship coverage
tuition fee reduction
accommodation
Description
There are some full scholarships at the undergraduate level and PhD level. These are very competitive. The PhD scholarship applications are made during the online graduate application. The undergraduate full scholarship applications are considered by a scholarship committee 30 days before the beginning of the semester for scholarships of type 7 and 60 days before the beginning of the semester for scholarships of type 3 The student needs to have admission to the program that they have applied to in order to be considered.
Applicable programmes
Design, Technology and Society
Koc University
Istanbul, Turkey
Medical Microbiology
Koc University
Istanbul, Turkey
Computer Science and Engineering
Koc University
Istanbul, Turkey
Benefits
The grant covers full or partial education from the tuition fee and/or accommodation fee of EMU dormitories.
The scope of the grant, duration and conditions are regulated by the principles for “Eastern Mediterranean University Sports Grants Application” specified by the University Executive Board and approved by the Board of Trustees.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
EMU offers sports grants for exceptional performance in individual or team sports. 
Scholarship requirements
Disciplines
Any
Locations
Turkey
Nationality
Any
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
03 Jan 2025
All scholarship applications will be evaluated latest 3 January for the upcoming academic semester. ","Eastern Mediterranean University
Famagusta , Northern Cyprus
Not ranked
Studyportals University Meta Ranking
3.9
Read 250 reviews
Featured by
Eastern Mediterranean University"
16,https://www.mastersportal.com/scholarships/10283/tuition-fee-waivers.html,"About
During the online application to the academic programs the students indicate that they wish to be considered, the decisions are made based on the academic performance of the candidate and academic program applied. The Eastern Mediterranean University admission decision will indicate if the student will receive a partial tuition waiver.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
Tuition fees discount
Scholarship coverage
tuition fee reduction
Description
There are some full scholarships at the undergraduate level and PhD level. These are very competitive. The PhD scholarship applications are made during the online graduate application. The undergraduate full scholarship applications are considered by a scholarship committee 30 days before the beginning of the semester for scholarships of type 7 and 60 days before the beginning of the semester for scholarships of type 3 The student needs to have admission to the program that they have applied to in order to be considered.
Applicable programmes
Design, Technology and Society
Koc University
Istanbul, Turkey
Medical Microbiology
Koc University
Istanbul, Turkey
Computer Science and Engineering
Koc University
Istanbul, Turkey
Benefits
This scholarship only covers tuition for the regular duration of the academic program.
  Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
For undergraduate applicants that have shown high performance in their home country in the university entrance system.
Only 2 best students among applicants from each country may receive this scholarship in each academic year. 
Scholarship requirements
Disciplines
Any
Locations
Turkey
Nationality
Any
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
03 Jan 2025
All scholarship applications will be evaluated latest 3 January for the upcoming academic semester. ","Eastern Mediterranean University
Famagusta , Northern Cyprus
Not ranked
Studyportals University Meta Ranking
3.9
Read 250 reviews
Featured by
Eastern Mediterranean University"
17,https://www.mastersportal.com/scholarships/10163/ebs-scholarship.html,"About
At EBS University they understand that each student's financial situation is unique. You don't have to rely on a full scholarship to finance your studies. They offer a variety of financial aid options to meet different needs. These options include partial scholarships, various funding options and flexible funding models, which can often be combined to create a comprehensive support package.","Overview
Scholarship type
Merit based
Number of scholarships to award
Multiple
Grant
Varies
Scholarship coverage
tuition fee reduction
Description
The EBS Scholarship is designed to support and encourage emerging talents who have the drive, ambition and determination to excel, demonstrated through academic excellence or other achievements. Through this scholarship opportunity, they aim to provide particularly individuals from diverse and disadvantaged economic backgrounds with the financial resources necessary to cultivate their leadership potential.
Applicable programmes
Master of Business Administration - One Year (Online)
IU International University of Applied Sciences
Berlin, Germany
Computer Science (Online)
IU International University of Applied Sciences
Berlin, Germany
Engineering Management (Online)
IU International University of Applied Sciences
Berlin, Germany
Benefits
 Scholarships in the Bachelor, Master and full-time MBA programmes.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
Proof of financial situation that prevents you from funding your studies using your own resources.
Very good academic performance.
Scholarship requirements
Disciplines
Any
Locations
Germany
Nationality
Any
Study experience required
High school
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
Anytime
Application deadline: During the EBS admission procedure (before the start of the programme.
Information about your own financial circumstances or those of any dependants of the applicant in the form of an income tax statement for the last two years and salary statement for the last two months.
One-page letter of motivation in German or English.
Curriculum vitae in tabular form.
Only for applications for the Bachelor and Law study programme:
Copy of the first school leaving certificate to obtain the general qualification for university entrance (Allgemeine Hochschulreife) or overview of grades for the last two school semesters
Only for application for a Master's/MBA programme:
Copy of the final certificate from the Bachelor's programme and, if applicable, proof of English proficiency (TOEFL, IELTS etc., not older than two years) and proof of a current GMAT, GRE or EBS degree, if already available (not older than five years)","EBS University of Business and Law
Wiesbaden , Germany
Not ranked
Studyportals University Meta Ranking
3.8
Read 4 reviews
Featured by
EBS University of Business and Law"
18,https://www.mastersportal.com/scholarships/10154/esade-talent-scholarships.html,"About
These awards, predominantly funded by Esade's resources and supported by donations from our alumni, aim to recognize and nurture talent from diverse backgrounds. Different talent-based awards are available based on nationality, gender, and academic history.","Overview
Scholarship type
Merit and need based
Number of scholarships to award
Multiple
Grant
Up to full tuition waiver
Scholarship coverage
tuition fee reduction
Description
Start your university studies at Esade with nothing holding you back. The Turn Your Talent into Transformation Scholarship Programme offers various types of scholarships to meet different types of needs, covering from 60% to 100% of tuition fees or lodging expenses, amongst others. They are for you if you have an outstanding academic record, but your financial situation is holding you back and/or you live outside Barcelona and need financial aid to study away from home.
Applicable programmes
International Project Management
BEBS (Barcelona Executive Business School)
Barcelona, Spain
International Tourism and Hospitality Management
BEBS (Barcelona Executive Business School)
Barcelona, Spain
Leadership and Talent Management
BEBS (Barcelona Executive Business School)
Barcelona, Spain
Benefits
The scholarship covers from 100% to 60% of tuition fees for the academic year depending on the financial situation and academic performance of the student.
Financing
Interested in financing your studies? Find a student loan that works for you.
Prodigy Finance
Student loans to cover up to 100% of tuition and living costs
Learn more
© Prodigy Finance Limited 2007 - 2022. All Rights Reserved. Prodigy Finance Limited is incorporated in the United Kingdom (Company Number 05912562) with its registered address at 85 Great Portland Street, London, W1W 7LT and registered with the Office of the Information Commissioner (Reg. No. Z9851854). Prodigy Finance is authorised and regulated by the Financial Conduct Authority (firm registration number 709641) for certain consumer credit activities. Prodigy Finance loans are offered to eligible borrowers and these loans are governed by English law.","Eligibility
In order to apply for your scholarship, you must take into account the following requirements:
Accredit an outstanding academic record: have a grade point average of the last two years of high school equal to or higher than 8,5/10 (or the equivalent in their education system) upon being admitted to Esade.
Meet the economic criteria: family income must be less than €118,000 annually.
Scholarship requirements
Disciplines
Any
Locations
Spain
Nationality
Any
Study experience required
Bachelor
Age
Unknown
Duolingo English Test
Fast, Affordable, and Accepted Worldwide by 4,000+ Universities!
Practice for free!","Application
Application deadline
Not specified
To apply for your scholarship, first complete the application process for your chosen undergraduate programme. If you have been admitted to more than one programme, you do not need to submit a scholarship application for each one; simply apply for your preferred option. And remember: once you have been awarded a scholarship, it will be valid throughout your undergraduate studies!","Esade
Sant Cugat del Vallès , Spain
Not ranked
Studyportals University Meta Ranking
4.2
Read 11 reviews
Featured by
Esade"
